Original,,,aWhere,,,,,,,,,,,
Village_Sun_colline,Latitude.original,longtitude.original,Latitude.awhere,longtitude.awhere,lat_d,lat_m,lat_o,lat_decimal,lon_d,lon_m,lon_o,lon_decimal,,
216,2201033,28489862,2201033000,2848986200,2,20,1033000,-2.333333333,28,48,8986200,28.8,,
217,2198645,28491317,2198645000,2849131700,2,19,8645000,-2.316666667,28,49,9131700,28.81666667,,
218,2166809,28528871,2166809000,2852887100,2,16,6809000,-2.266666667,28,52,2887100,28.86666667,,
219,02'158460,02'8532102,2158460000,2853210200,2,15,8460000,-2.25,28,53,3210200,28.88333333,,
220,02'45.8372',028'40.8595',2458372000,2840859500,2,45,8372000,-2.75,28,40,859500,28.66666667,,
221,02'45.3022',028'39.4935',2453022000,2839493500,2,45,3022000,-2.75,28,39,9493500,28.65,,
222,02'41.1690',028'34.0931',2411690000,2834093100,2,41,1690000,-2.683333333,28,34,4093100,28.56666667,,
223,02'50.6837',028'47.3967',2506837000,2847396700,2,50,6837000,-2.833333333,28,47,7396700,28.78333333,,
224,02'50.7039',028'47.4169',2507039000,2847416900,2,50,7039000,-2.833333333,28,47,7416900,28.78333333,,
225,02'50.2445',028'44.7435',2502445000,2844743500,2,50,2445000,-2.833333333,28,44,4743500,28.73333333,,
226,02'50.2636',028'44.7266',2502636000,2844726600,2,50,2636000,-2.833333333,28,44,4726600,28.73333333,,
227,02'50.7918',028'44.5680',2507918000,2844568000,2,50,7918000,-2.833333333,28,44,4568000,28.73333333,,
228,02'50.5544',028'44.7918',2505544000,2844791800,2,50,5544000,-2.833333333,28,44,4791800,28.73333333,,
229,02'15.0979',028'48.8615',2150979000,2848861500,2,15,979000,-2.25,28,48,8861500,28.8,,
230,02'21.221',028'47.4030',2212210000,2847403000,2,21,2210000,-2.35,28,47,7403000,28.78333333,,
231,02'21.2969',028'47.4728',2212969000,2847472800,2,21,2969000,-2.35,28,47,7472800,28.78333333,,
232,02'20.4960',028'49.0989',2204960000,2849098900,2,20,4960000,-2.333333333,28,49,9098900,28.81666667,,
233,02'44.5384',028'40.3621',2445384000,2840362100,2,44,5384000,-2.733333333,28,40,362100,28.66666667,,
234,,,0,0,0,0,0,0,0,0,0,0,,
235,02 50 3903,028 45 0587,2503903000,2845058700,2,50,3903000,-2.833333333,28,45,5058700,28.75,,
236,,,0,0,0,0,0,0,0,0,0,0,,
238,2115639,28523110,2115639000,2852311000,2,11,5639000,-2.183333333,28,52,2311000,28.86666667,,
2166,217.2458954,2852.652832,2172458954,2852652832,2,17,2458954,-2.283333333,28,52,2652832,28.86666667,,
2213,242.1215057,2838.269775,2421215057,2838269775,2,42,1215057,-2.7,28,38,8269775,28.63333333,,
2214,2409251,28387302,2409251000,2838730200,2,40,9251000,-2.666666667,28,38,8730200,28.63333333,,
2216,237.6629028,2844.6658,2376629028,2844665800,2,37,6629028,-2.616666667,28,44,4665800,28.73333333,,
2217,2374501,28454277,2374501000,2845427700,2,37,4501000,-2.616666667,28,45,5427700,28.75,,
2218,02'37.5399',028'44.6763,2375399000,2844676300,2,37,5399000,-2.616666667,28,44,4676300,28.73333333,,
2219,02'41.2633',028'39.1058,2412633000,2839105800,2,41,2633000,-2.683333333,28,39,9105800,28.65,,
2220,212002,28514722,2120020000,2851472200,2,12,20000,-2.2,28,51,1472200,28.85,,
2223,02'11.5738,028'51.0397,2115738000,2851039700,2,11,5738000,-2.183333333,28,51,1039700,28.85,,
2224,02 40 9766,028 38 8850,2409766000,2838885000,2,40,9766000,-2.666666667,28,38,8885000,28.63333333,,
2226,24.5312,028'38.9395,2453120000,2838939500,2,45,3120000,-2.75,28,38,8939500,28.63333333,,
2227,2114223,28505790,2114223000,2850579000,2,11,4223000,-2.183333333,28,50,579000,28.83333333,,
2228,02 37 8607,028 45 1194,2378607000,2845119400,2,37,8607000,-2.616666667,28,45,5119400,28.75,,
2229,2165508,28529388,2165508000,2852938800,2,16,5508000,-2.266666667,28,52,2938800,28.86666667,,
2234,216.1461945,2852.8472,2161461945,2852847200,2,16,1461945,-2.266666667,28,52,2847200,28.86666667,,
2236,02 11 0608,028  51 . 7971,2110608000,2851797100,2,11,608000,-2.183333333,28,51,1797100,28.85,,
2237,21.8673 566,16.568888,2186735660,1656888800,2,18,6735660,-2.3,16,56,6888800,16.93333333,,
2238,2162617,28533323,2162617000,2853332300,2,16,2617000,-2.266666667,28,53,3332300,28.88333333,,
2240,212.1833954,2851.59082,2121833954,2851590820,2,12,1833954,-2.2,28,51,1590820,28.85,,
2242,2166475,28527216,2166475000,2852721600,2,16,6475000,-2.266666667,28,52,2721600,28.86666667,,
2243,2418605,28390951,2418605000,2839095100,2,41,8605000,-2.683333333,28,39,9095100,28.65,,
2244,02  40  7547,028  38  9236,2407547000,2838923600,2,40,7547000,-2.666666667,28,38,8923600,28.63333333,,
2246,216.1461945,2852.8472,2161461945,2852847200,2,16,1461945,-2.266666667,28,52,2847200,28.86666667,,
2247,02 41 8820,028 38 454,2418820000,2838454000,2,41,8820000,-2.683333333,28,38,8454000,28.63333333,,
2249,02 37 8533,028  44  7585,2378533000,2844758500,2,37,8533000,-2.616666667,28,44,4758500,28.73333333,,
2251,2418747,28383782,2418747000,2838378200,2,41,8747000,-2.683333333,28,38,8378200,28.63333333,,
2252,2111973,2851940,2111973000,2851940000,2,11,1973000,-2.183333333,28,51,1940000,28.85,,
2253,02 37 9086,028 45 1523,2379086000,2845152300,2,37,9086000,-2.616666667,28,45,5152300,28.75,,
